Institution Name	Institution Symbol	Institution State	Library Type	Requests Received	Requests From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Electronic Link	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
DREXEL UNIV	DXU	PA	Academic	3	3	0	1	1	0	2	0	1:00:00	1:00:00	0:00:00
DURHAM CNTY LIBR	NZD	NC	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DYER LIBR	DYERL	ME	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
E M GILLIAM MEM LIBR	TXEMG	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EAGLE PUB LIBR	E9G	ID	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
EAGLE VAL LIBR DIST	E3V	CO	Public	1	1	0	1	1	0	0	0	2:00:00	2:00:00	0:00:00
EAST BONNER CNTY LIBR	E4B	ID	Public	6	6	0	4	4	0	2	0	1:06:00	1:06:00	0:00:00
EAST TEXAS A&M UNIV	IEA	TX	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
EASTERN ILLINOIS UNIV	IAD	IL	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EASTERN OREGON UNIV LIBR	EOS	OR	Academic	1	1	0	1	1	0	0	0	2:00:00	2:00:00	0:00:00
EASTERN WASHINGTON UNIV	WEA	WA	Academic	5	5	0	4	4	0	1	0	0:12:00	0:12:00	0:00:00
ELK GROVE VILLAGE PUB LIBR	IL2	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ENOCH PRATT FREE LIBR	MDB	MD	Public	5	5	0	2	2	0	3	0	0:12:00	0:12:00	0:00:00
EVANSVILLE VANDERBURGH PUB LIBR	IEP	IN	Public	5	5	0	1	1	0	4	0	0:00:00	0:00:00	0:00:00
EVERETT PUB LIBR	UAI	WA	Public	13	13	0	2	2	0	10	0	0:12:00	0:12:00	0:00:00
EVERETT ROEHL MARSHFIELD PUB LIBR	WGM	WI	Public	2	2	0	1	1	0	1	0	4:00:00	4:00:00	0:00:00
FAIRBANKS N STAR BOROUGH LIBR	X#4	AK	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
FAIRFAX CNTY PUB LIBR	AXH	VA	Public	1	1	0	1	1	0	0	0	4:00:00	4:00:00	0:00:00
FARGO PUB LIBR	NFG	ND	Public	1	1	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
FARMINGTON COMMUN LIBR	EHE	MI	Public	2	2	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
FERGUSON LIBR	FEM	CT	Public	3	3	0	2	2	0	1	0	0:00:00	0:00:00	0:00:00
FINGER LAKES LIBR SYST	VYG	NY	Public	6	6	0	4	4	0	2	0	0:12:00	0:12:00	0:00:00
FLAGSTAFF CITY, COCONINO CNTY LIBR	AZH	AZ	Public	3	3	0	1	1	0	2	0	1:00:00	1:00:00	0:00:00
FLATHEAD CNTY LIBR	MZC	MT	Public	2	2	0	2	2	0	1	0	5:00:00	5:00:00	0:00:00
FLORIDA ATLANTIC UNIV	FGM	FL	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FOREST GROVE PUB LIBR	ORI	OR	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FORSYTH CNTY PUB LIBR	Y32	GA	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
FORT BEND CNTY LIBRS	FTX	TX	Public	1	0	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
FORT LEWIS COL	CDF	CO	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FORT SMITH PUB LIBR	FSM	AR	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
FORT VANCOUVER REG LIBR	YEP	WA	Public	12	12	1	6	6	0	8	0	2:07:55	2:07:55	0:00:00
FORT WORTH PUB LIBR	IFA	TX	Public	2	0	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
FOUNTAINDALE PUB LIBR DIST, BOLINGBROOK	OJ4	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FREE LIBR OF PHILADELPHIA	PLF	PA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FREMONT CNTY LIBR SYST	W8F	WY	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
FRESNO CNTY FREE LIBR	JQR	CA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FRIENDSWOOD PUB LIBR	QS4	TX	Public	2	0	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
FRISCO PUB LIBR	FHP	TX	Public	1	0	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
FULTON CNTY LIBR SYST	GAP	GA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GARDEN HOME COMMUN LIBR	O2G	OR	Public	2	2	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
GENESEE COMMUN COL	YJA	NY	Academic	1	1	0	1	1	0	0	0	3:00:00	3:00:00	0:00:00
GENEVA PUB LIBR DIST	JSY	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GEORGETOWN PUB LIBR	QS5	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GEORGIA COL & STATE UNIV	GGC	GA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
GERMANTOWN PUB LIBR	G8T	OH	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GLEN ELLYN PUB LIBR	JCW	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GONZAGA UNIV	WUG	WA	Academic	6	6	0	2	2	0	4	0	0:00:00	0:00:00	0:00:00
GRAFTON-MIDVIEW PUB LIBR	GMPMT	OH	Public	1	1	0	1	1	0	0	0	2:00:00	2:00:00	0:00:00
GRAND CNTY LIBR	UTGRD	UT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GRANTS PUB LIBR	DV2	NM	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
GRANTSVILLE PUB LIBR	UTGRA	UT	Public	1	1	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
GREAT RIVER REG LIBR	GRR	MN	Public	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
GREENE CNTY PUB LIBR	GRC	OH	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
GREENVILLE CNTY LIBR	SGR	SC	Public	4	4	0	2	2	0	1	0	0:12:00	0:12:00	0:00:00
GREENWICH LIBR	GRN	CT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HAMMOND PUB LIBR	IHP	IN	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
HAMPSHIRE COL	HAM	MA	Academic	2	2	0	1	1	0	1	0	4:00:00	4:00:00	0:00:00
HARDING UNIV, BRACKETT LIBR	AHS	AR	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
